Artikel Nr HOD;*Hersteller;*Typ;*Art.Gruppe Txt;*Bezeichnung;*Tuning;*Status;*Nettopreis Handel;*Empf.Werkstattpreis;*Empf.Endverbr.Preis;*VPE;*OE-Nummer;*EAN;*Priority Part;*Anlagedatum;*Länge cm;*Breite  cm;*Höhe  cm;*Gewicht Brutto;*Gewicht Netto;*GLS J/N;*Zolltarifnr;*Produktgruppe;*Gültig ab;*Beschreibung;*Beschreibung;*Beschreibung;*Beschreibung;*Beschreibung;*Beschreibung;*Beschreibung;*Beschreibung;*Beschreibung;*
1031998;*AUDI;*DESIGNRÜCKLEUCHTEN SET A3,;*DESIGN RÜCKLEUCHTE;*04-08            ROT-SMOKE;*T;*1;*194;*0;*0;*1;*;*4052355412072;*;*20140903;*60;*48;*17;*4.5;*3.2;*J;*8512 2000;*113;*20230401;*Combination Rearlight Set;*04-08            ROT-SMOKE;*Light Design: LED;*Colour: Tinted;*Colour: Red;*Bulb Type: W16W;*Bulb Type: PR21W;*Bulb Type: PY21W;*;*
1031999;*AUDI;*DESIGNRÜCKLEUCHTEN SET A3,;*DESIGN RÜCKLEUCHTE;*04-08                SMOKE;*T;*1;*194;*0;*0;*1;*;*4052355412041;*;*20140903;*58;*48;*16;*4.5;*3.2;*J;*8512 2000;*113;*20230401;*Combination Rearlight Set;*04-08                SMOKE;*Light Design: LED;*Colour: Tinted;*Bulb Type: W16W;*Bulb Type: PR21W;*Bulb Type: PY21W;*Bulb Type: P21W;*;*
1032000;*AUDI;*MOTORHAUBE        AUDI A3,;*MOTORHAUBEN;*08-12;*K;*1;*93.68;*167.51;*434.7;*1;*8P0823029D;*4052355009852;*;*20090123;*155;*13;*125;*17.68;*0;*N;*8708 2990;*75;*20230401;*Bonnet;*08. Dez;*See accessories list for additionally required parts:;*;*;*;*;*;*;*
1032002;*AUDI;*FRONTMASKE        AUDI A3,;*FRONTGERÜST;*08-12;*K;*1;*86.31;*161.08;*193.5;*1;*8P0 805 588 L;*4052355290984;*;*20120309;*150;*70;*38;*4.2;*4.2;*N;*8708 2990;*16;*20230401;*Front Cowling;*08. Dez;*Panel Type: Slam Panel;*;*;*;*;*;*;*
1032006;*AUDI;*KOTFLÜGEL RE.     AUDI A3,;*KOTFLÜGEL;*08-12;*K;*1;*31.47;*49.9;*89;*1;*8P0821106E;*4052355009869;*;*20090123;*106;*20;*82;*2.6;*2;*J;*8708 2990;*15;*20230401;*Wing;*08. Dez;*Fitting Position: Right;*;*;*;*;*;*;*
1032007;*AUDI;*KOTFLÜGEL LI.     AUDI A3,;*KOTFLÜGEL;*08-12;*K;*1;*31.47;*49.9;*89;*1;*8P0821105E;*4052355009876;*;*20090123;*106;*20;*82;*2.6;*2;*J;*8708 2990;*15;*20230401;*Wing;*08. Dez;*Fitting Position: Left;*;*;*;*;*;*;*
1032046;*AUDI;*STOßSTANGENGITTER RE.  A3,;*STOSSST ZUBEHÖR VORN;*08-05.10;*K;*1;*6.35;*23.78;*30.52;*1;*8P0807682E;*4052355314598;*J;*20120524;*57;*12;*8;*0.26;*0;*J;*8708 1090;*60;*20230401;*Ventilation Grille, bumper;*08.05.2010;*Fitting Position: Right;*Quality: Certified Quality;*Vehicle Equipment: for vehicles with fog lights;*;*;*;*;*
1032047;*AUDI;*STOßSTANGENGITTER LI.  A3,;*STOSSST ZUBEHÖR VORN;*08-05.10;*K;*1;*6.35;*23.78;*30.52;*1;*8P0807681F;*4052355314581;*J;*20120524;*57;*12;*8;*0.26;*0;*J;*8708 1090;*60;*20230401;*Ventilation Grille, bumper;*08.05.2010;*Fitting Position: Left;*Quality: Certified Quality;*Vehicle Equipment: for vehicles with fog lights;*;*;*;*;*
1032048;*AUDI;*STOßSTANGENGITTER RE.  A3,;*STOSSST ZUBEHÖR VORN;*08-05.10         OHNE NLL,;*K;*1;*13.58;*21.95;*29.1;*1;*8P0 807 681 D;*4052355432292;*;*20150722;*56;*11;*7;*0.3;*0;*J;*8708 1090;*60;*20230401;*Ventilation Grille, bumper;*08-05.10         OHNE NLL,;*Fitting Position: Right;*Vehicle Equipment: for vehicles without fog lights;*;*;*;*;*;*
1032049;*AUDI;*STOßSTANGENGITTER LI.  A3,;*STOSSST ZUBEHÖR VORN;*08-05.10         OHNE NLL,;*K;*1;*13.58;*21.95;*29.1;*1;*8P0807681E;*4052355432278;*;*20150722;*56;*11;*7;*0.3;*0;*J;*8708 1090;*60;*20230401;*Ventilation Grille, bumper;*08-05.10         OHNE NLL,;*Fitting Position: Left;*Vehicle Equipment: for vehicles without fog lights;*;*;*;*;*;*
1032050;*AUDI;*STOßSTANGE VORN   AUDI A3,;*STOßSTANGE;*08-12;*K;*1;*73.58;*125.9;*271.2;*1;*8P0807105E;*4052355009906;*J;*20100427;*177;*50;*55;*4.37;*3.57;*N;*8708 1090;*2;*20230401;*Bumper;*08. Dez;*Fitting Position: Front;*Vehicle Equipment: for vehicles without headlamp cleaning system;*Vehicle Equipment: for vehicles without parking assist;*Surface: Primed;*;*;*;*
1032051;*AUDI;*STOßSTANGE VORN   AUDI A3,;*STOßSTANGE;*08-12;*K;*1;*79;*185.54;*283.2;*1;*8P0807105G;*4052355009913;*J;*20100917;*182;*53;*42;*4.37;*3.57;*N;*8708 1090;*2;*20230401;*Bumper;*08. Dez;*Fitting Position: Front;*Vehicle Equipment: for vehicles without headlamp cleaning system;*Vehicle Equipment: for vehicles with parking assist;*;*;*;*;*
1032052;*AUDI;*STOßFÄNGER VORN   AUDI A3,;*STOßSTANGE;*08-12;*K;*1;*55.68;*99;*169;*1;*8P0807105F;*4052355522344;*;*20170208;*188;*46;*46;*4.37;*3.57;*N;*8708 1090;*2;*20230401;*Bumper;*08. Dez;*Fitting Position: Front;*Vehicle Equipment: for vehicles with headlamp cleaning system;*Vehicle Equipment: for vehicles without parking assist;*Surface: Primed;*;*;*;*
1032053;*AUDI;*STOßSTANGE VORN   AUDI A3,;*STOßSTANGE;*08-12;*K;*1;*64.4;*184.34;*288.8;*1;*8P0807105H;*4052355440457;*;*20151120;*193;*42;*46;*3.32;*0;*N;*8708 1090;*2;*20230401;*Bumper;*08. Dez;*Fitting Position: Front;*Vehicle Equipment: for vehicles with parking assist;*Vehicle Equipment: for vehicles with headlamp cleaning system;*;*;*;*;*
1032054;*AUDI;*STOßST.HALTERSET VO.  A 3,;*STOSSST ZUBEHÖR VORN;*08-12;*K;*1;*8.99;*11.24;*11.47;*1;*8P0807183B;*4052355394644;*;*20140121;*18;*5;*4;*0.2;*0;*J;*8708 1090;*60;*20230401;*Mounting Set, bumper;*08. Dez;*Fitting Position: Front;*;*;*;*;*;*;*
1032055;*AUDI;*STOßSTANGE HINT.  AUDI A3,;*STOßSTANGE;*08-12    3-TÜRIG FLIEßHECK;*K;*1;*83.89;*171.57;*263.2;*1;*8P3807303DGRU;*4052355401847;*;*20140424;*199;*52;*52;*4.6;*0;*N;*8708 1090;*2;*20230401;*Bumper;*08-12    3-TšRIG FLIEáHECK;*Fitting Position: Rear;*Vehicle Equipment: for vehicles without parking assist;*Surface: Primed;*not for equipment variant: S-Line;*;*;*;*
1032058;*AUDI;*STOSST.UNTERTEIL HINT. A3,;*STOßSTANGE;*05.10-12;*K;*1;*46.84;*91.77;*105;*1;*8P0807434H01C;*4052355535641;*;*20170823;*135;*30;*5;*1.01;*0;*J;*8708 1090;*2;*20230401;*Spoiler;*05.10.2012;*Fitting Position: Rear;*not for equipment variant: S-Line;*Model year from: 2010;*Section: Lower Section;*;*;*;*
1032060;*AUDI;*VERSTÄRKUNG VORN  AUDI A3,;*STOSSST ZUBEHÖR VORN;*08-12;*K;*1;*49.61;*95.24;*141.6;*1;*8P4807113B;*4052355009920;*;*20090710;*110;*10;*10;*2.03;*0;*J;*8708 1090;*60;*20230401;*Impact Absorber, bumper;*08. Dez;*Fitting Position: Front;*Usable for vehicles from model year: 200804;*;*;*;*;*;*
1032062;*AUDI;*WASCHKAPPE RE.    AUDI A3,;*STOSSST ZUBEHÖR VORN;*08-12;*K;*1;*11.47;*15.17;*15.17;*1;*8P0955276AGRU;*4052355535559;*;*20170821;*13;*8;*7;*0.05;*0.03;*J;*8708 1090;*60;*20230401;*Cover, bumper;*08. Dez;*Fitting Position: Right Front;*Supplementary Article/Info 2: for headlamp cleaning system;*Surface: Primed;*Usable for vehicles from model year: 200804;*;*;*;*
1032063;*AUDI;*WASCHKAPPE LI.    AUDI A3,;*STOSSST ZUBEHÖR VORN;*08-12;*K;*1;*11.47;*15.17;*15.17;*1;*8P0955275AGRU;*4052355535566;*;*20170821;*12;*9;*6;*0.05;*0.03;*J;*8708 1090;*60;*20230401;*Cover, bumper;*08. Dez;*Fitting Position: Left Front;*Supplementary Article/Info 2: for headlamp cleaning system;*Surface: Primed;*Usable for vehicles from model year: 200804;*;*;*;*
1032080;*AUDI;*SCHEINWERFER RE.  AUDI A3,;*SCHEINW.HELLA,VALEO;*08-13        MIT TAGFAHRL.;*K;*1;*142;*212.21;*269;*1;*8P0 941 004 AJ;*4052355009937;*J;*20090123;*60;*39;*39;*3.64;*0;*J;*8512 2000;*4;*20230401;*Headlight;*08-13        MIT TAGFAHRL.;*Number of light functions: 5;*Indicator Colour: White;*Fitting Position: Right;*Supplementary Article/Info 2: with motor for headlamp levelling;*Supplementary Article/Info 2: with bulbs;*Bulb Type: W5W;*;*
1032081;*AUDI;*SCHEINWERFER LI.  AUDI A3,;*SCHEINW.HELLA,VALEO;*08-13        MIT TAGFAHRL.;*K;*1;*142;*202.12;*269;*1;*8P0 941 003 AJ;*4052355009944;*J;*20090123;*60;*39;*39;*3.64;*0;*J;*8512 2000;*4;*20230401;*Headlight;*08-13        MIT TAGFAHRL.;*Number of light functions: 5;*Indicator Colour: White;*Fitting Position: Left;*Supplementary Article/Info 2: with motor for headlamp levelling;*Supplementary Article/Info 2: with bulbs;*Bulb Type: W5W;*;*
1032084;*AUDI;*XENONSCHEINW.RE.  AUDI A3,;*SCHEINW.HELLA,VALEO;*08-12    MIT LED-TAGFAHRL.;*K;*1;*236.84;*445.42;*498;*1;*8P0 941 030 AM;*4052355009951;*J;*20100119;*60;*40;*27;*4.4;*0;*J;*8512 2000;*4;*20230401;*Headlight;*08-12    MIT LED-TAGFAHRL.;*Number of light functions: 5;*Fitting Position: Right;*Supplementary Article/Supplementary Info: without accessories;*Supplementary Article/Info 2: without cut-in unit;*Supplementary Article/Info 2: without glow discharge lamp;*Supplementary Article/Info 2: with motor for headlamp levelling;*;*
1032085;*AUDI;*XENONSCHEINW.LI.  AUDI A3,;*SCHEINW.HELLA,VALEO;*08-12    MIT LED-TAGFAHRL.;*K;*1;*236.84;*445.42;*498;*1;*8P0 941 029 AM;*4052355009968;*J;*20100119;*60;*40;*28;*3.6;*0;*J;*8512 2000;*4;*20230401;*Headlight;*08-12    MIT LED-TAGFAHRL.;*Number of light functions: 5;*Fitting Position: Left;*Supplementary Article/Supplementary Info: without accessories;*Supplementary Article/Info 2: without cut-in unit;*Supplementary Article/Info 2: without glow discharge lamp;*Supplementary Article/Info 2: with motor for headlamp levelling;*;*
1032090;*AUDI;*RÜCKLEUCHTE RE.   AUDI A3,;*RÜCKLEUCHTEN;*08-12       OHNE LAMPENTR.;*K;*1;*42;*108.41;*122.85;*1;*8P3945096;*4052355009975;*;*20090123;*49;*49;*22;*2.11;*1.43;*J;*8512 2000;*12;*20230401;*Combination Rearlight;*08-12       OHNE LAMPENTR.;*Fitting Position: Right;*Quality: Depo / TYC;*Registration Type: E-type checked;*Supplementary Article/Supplementary Info: without lamp base;*;*;*;*
1032091;*AUDI;*RÜCKLEUCHTE LI.   AUDI A3,;*RÜCKLEUCHTEN;*08-12       OHNE LAMPENTR.;*K;*1;*42;*108.41;*122.85;*1;*8P3945095;*4052355009982;*;*20090123;*49;*49;*22;*2.11;*1.43;*J;*8512 2000;*12;*20230401;*Combination Rearlight;*08-12       OHNE LAMPENTR.;*Fitting Position: Left;*Quality: Depo / TYC;*Registration Type: E-type checked;*Supplementary Article/Supplementary Info: without lamp base;*;*;*;*
1032146;*AUDI;*STOßSTANGENGITTER RE.  A3,;*STOSSST ZUBEHÖR VORN;*05.10-13      +CHROMLEISTE;*K;*1;*25.55;*40.58;*42;*1;*8P0807682J;*4052355659781;*;*20190620;*57;*14;*8;*0.3;*0.25;*J;*8708 1090;*60;*20230401;*Ventilation Grille, bumper;*05.10-13      +CHROMLEISTE;*Fitting Position: Right;*Vehicle Equipment: for vehicles with fog lights;*Colour: Chrome / Black;*not for equipment variant: S-Line;*Usable for vehicles from model year: 201005;*;*;*
1032147;*AUDI;*STOßSTANGENGITTER LI.  A3,;*STOSSST ZUBEHÖR VORN;*05.10-13      +CHROMLEISTE;*K;*1;*25.55;*40.58;*42;*1;*8P0807681AA;*4052355659804;*;*20190620;*57;*14;*8;*0.3;*0.25;*J;*8708 1090;*60;*20230401;*Ventilation Grille, bumper;*05.10-13      +CHROMLEISTE;*Fitting Position: Left;*Vehicle Equipment: for vehicles with fog lights;*Colour: Chrome / Black;*not for equipment variant: S-Line;*Usable for vehicles from model year: 201005;*;*;*
1032160;*AUDI;*PRALLDÄMPFER RE.       A3,;*STOSSST ZUBEHÖR VORN;*08-12;*K;*1;*59.79;*74.74;*76.26;*1;*8P0807134A;*4052355657015;*;*20190516;*20;*19;*13;*1.2;*1.18;*J;*8708 1090;*60;*20230401;*Impact Absorber, bumper;*08. Dez;*Fitting Position: Right Front;*Model year from: 2012;*;*;*;*;*;*
1032161;*AUDI;*PRALLDÄMPFER LI.       A3,;*STOSSST ZUBEHÖR VORN;*08-12;*K;*1;*59.79;*74.74;*76.26;*1;*8P0807133A;*4052355657022;*;*20190516;*20;*19;*13;*1.2;*1.18;*J;*8708 1090;*60;*20230401;*Impact Absorber, bumper;*08. Dez;*Fitting Position: Left Front;*Model year from: 2012;*;*;*;*;*;*
1032162;*AUDI;*SCHEINW.HALTER RE.    A 3,;*KAROSSERIETEILE;*08-12;*K;*1;*11.68;*18.95;*20.9;*1;*8P0805608A;*4052355656254;*;*20190514;*60;*20;*12;*0.49;*0;*J;*8708 2990;*1;*20230401;*Base, headlight;*08. Dez;*Fitting Position: Right;*Model year from: 2008;*;*;*;*;*;*
1032163;*AUDI;*SCHEINW.HALTER LI.    A 3,;*KAROSSERIETEILE;*08-12;*K;*1;*11.68;*18.95;*20.9;*1;*8P0805607A;*4052355656261;*;*20190514;*58;*28;*5;*0.49;*0;*J;*8708 2990;*1;*20230401;*Base, headlight;*08. Dez;*Fitting Position: Left;*Model year from: 2008;*;*;*;*;*;*
1032190;*AUDI;*RÜCKLEUCHTE RE.   AUDI A3,;*RÜCKLEUCHTEN;*08-12       NUR LIMO 3-TÜR;*K;*1;*61.75;*97;*122.85;*1;*8P3945096B;*4052355654403;*J;*20190426;*40;*27;*21;*1.96;*1.6;*J;*8512 2000;*12;*20230401;*Combination Rearlight;*08-12       NUR LIMO 3-TšR;*Fitting Position: Right;*Quality: Magenti Marelli;*Quality: Certified Quality;*Bulb Type: W16W;*Bulb Type: PY21W;*Bulb Type: R10W;*;*
1032191;*AUDI;*RÜCKLEUCHTE LI.   AUDI A3,;*RÜCKLEUCHTEN;*08-12       NUR LIMO 3-TÜR;*K;*1;*61.75;*97;*122.85;*1;*8P3945095B;*4052355654410;*J;*20190426;*40;*27;*21;*1.96;*1.6;*J;*8512 2000;*12;*20230401;*Combination Rearlight;*08-12       NUR LIMO 3-TšR;*Fitting Position: Left;*Quality: Magenti Marelli;*Quality: Certified Quality;*Bulb Type: R10W;*Bulb Type: W16W;*Bulb Type: PY21W;*;*
1032224;*AUDI;*AUßENSPIEGEL RE.  AUDI A3,;*SPIEGEL;*08-05/10    GRUND;   8-PIN;*K;*1;*57.79;*79;*204.3;*1;*8P1 858 532 DB;*4052355010032;*;*20101004;*32;*32;*19;*1.7;*1.2;*J;*7009 1000;*7;*20230401;*Outside Mirror;*08-05/10    GRUND;   8-PIN;*Number of Doors: 2/3;*Fitting Position: Right;*Registration Type: E-type checked;*Light Function: with indicator;*Number of Poles: 8;*Outer/Inner Mirror: for electric mirror adjustment;*;*
1032225;*AUDI;*AUßENSPIEGEL LI.  AUDI A3,;*SPIEGEL;*08-05/10    GRUND;   8-PIN;*K;*1;*57.79;*79;*208.07;*1;*8P1 858 531 DB;*4052355010049;*;*20101004;*32;*32;*19;*1.7;*1.2;*J;*7009 1000;*7;*20230401;*Outside Mirror;*08-05/10    GRUND;   8-PIN;*Number of Doors: 2/3;*Fitting Position: Left;*Registration Type: E-type checked;*Light Function: with indicator;*Surface: Primed;*Number of Poles: 8;*;*
1032246;*AUDI;*STOßSTANGENGITTER RE.  A3,;*STOSSST ZUBEHÖR VORN;*10-12    FÜR SPORTMODELLE,;*K;*1;*24.11;*32.9;*55;*1;*8P0807682K;*4052355730503;*J;*20220414;*42;*20;*10;*0.5;*0.45;*J;*8708 1090;*60;*20230401;*Ventilation Grille, bumper;*10-12    FšR SPORTMODELLE,;*Fitting Position: Right;*Vehicle Equipment: for vehicles with fog lights;*Vehicle Equipment: for vehicles without sport bumper;*Colour: Chrome / Black;*Usable for vehicles from model year: 201005;*Optical Impression: Glossy;*;*
1032247;*AUDI;*STOßSTANGENGITTER LI.  A3,;*STOSSST ZUBEHÖR VORN;*10-12    FÜR SPORTMODELLE,;*K;*1;*24.11;*32.9;*55;*1;*8P0807681AF;*4052355730510;*J;*20220414;*42;*20;*10;*0.5;*0.45;*J;*8708 1090;*60;*20230401;*Ventilation Grille, bumper;*10-12    FšR SPORTMODELLE,;*Fitting Position: Left;*Vehicle Equipment: for vehicles with fog lights;*Vehicle Equipment: for vehicles without sport bumper;*Colour: Chrome / Black;*Usable for vehicles from model year: 201005;*Optical Impression: Glossy;*;*
1032255;*AUDI;*STOßSTANGE HINT.  AUDI A3,;*STOßSTANGE;*08-12    5-TÜRIG SPORTBACK;*K;*1;*101.2;*238.07;*263.2;*1;*8P4 807 303 D;*4052355404022;*J;*20140611;*182;*59;*72;*7.1;*5.1;*N;*8708 1090;*2;*20230401;*Bumper;*08-12    5-TšRIG SPORTBACK;*Quality: Certified Quality;*Fitting Position: Rear;*Vehicle Equipment: for vehicles without parking assist;*Surface: Primed;*not for equipment variant: S-Line;*;*;*
1032256;*AUDI;*STOßSTANGE HINT.  AUDI A3,;*STOßSTANGE;*08-12    5-TÜRIG SPORTBACK;*K;*1;*110.53;*216.13;*272.8;*1;*8P4 807 303 E;*4052355408082;*;*20140716;*190;*61;*60;*5.89;*0;*N;*8708 1090;*2;*20230401;*Bumper;*08-12    5-TšRIG SPORTBACK;*Fitting Position: Rear;*Vehicle Equipment: for vehicles with parking assist;*Surface: Primed;*not for equipment variant: S-Line;*;*;*;*
1032280;*AUDI;*DESIGNSCHEINWERFER SET A3,;*UPGRADE SCHEINWERFER;*08-12            MIT LINSE;*T;*1;*358;*0;*0;*1;*;*4052355427458;*;*20150526;*63;*57;*35;*9.61;*6;*J;*8512 2000;*116;*20230401;*Headlight Set;*08-12            MIT LINSE;*Vehicle Equipment: for vehicles with headlamp levelling (electric);*Bulb Type: H7 / H7;*Quality: ANGEL EYES;*Quality: Depo / TYC;*;*;*;*
1032324;*AUDI;*AUßENSPIEGEL RE.  AUDI A3,;*SPIEGEL;*08-05/10    GRUND;  10-PIN;*K;*1;*73.58;*206.72;*269;*1;*8P1 858 532DC 01C;*4052355010063;*;*20101004;*32;*32;*19;*1.7;*1.2;*J;*7009 1000;*7;*20230401;*Outside Mirror;*08-05/10    GRUND;  10-PIN;*Number of Doors: 3;*Fitting Position: Right;*Light Function: with indicator;*Surface: Primed;*Number of Poles: 10;*Outer/Inner Mirror: Aspherical;*;*
1032325;*AUDI;*AUßENSPIEGEL LI.  AUDI A3,;*SPIEGEL;*08-05/10    GRUND;  10-PIN;*K;*1;*73.58;*206.72;*485;*1;*8P1858531DC01C;*4052355010070;*;*20101004;*32;*32;*19;*1.7;*1.2;*J;*7009 1000;*7;*20230401;*Outside Mirror;*08-05/10    GRUND;  10-PIN;*Number of Doors: 3;*Fitting Position: Left;*Light Function: with indicator;*Surface: Primed;*Number of Poles: 10;*Outer/Inner Mirror: Aspherical;*;*
1032424;*AUDI;*SPIEGEL RE.      AUDI A3,;*SPIEGEL;*08-05/10    GRUND;  8-PIN;*K;*1;*91.58;*185.54;*485;*1;*8P1 858 532 EA 01C;*4052355010087;*;*20101004;*32;*32;*19;*1.7;*1.2;*J;*7009 1000;*7;*20230401;*Outside Mirror;*08-05/10    GRUND;  8-PIN;*Number of Doors: 4/5;*Fitting Position: Right;*Registration Type: E-type checked;*Light Function: with indicator;*Surface: Primed;*Number of Poles: 8;*;*
1032425;*AUDI;*SPIEGEL LI.      AUDI A3,;*SPIEGEL;*08-05/10    GRUND;   8-PIN;*K;*1;*91.58;*185.54;*599;*1;*8P1 858 531 EA 01C;*4052355010094;*;*20101004;*32;*32;*19;*1.7;*1.2;*J;*7009 1000;*7;*20230401;*Outside Mirror;*08-05/10    GRUND;   8-PIN;*Number of Doors: 4/5;*Fitting Position: Left;*Registration Type: E-type checked;*Light Function: with indicator;*Surface: Primed;*Number of Poles: 8;*;*
1032487;*AUDI;*DESIGNSCHEINW.SET AUDI A3,;*TUBE LIGHTS;*08-12       KLARGLAS/CHROM;*T;*1;*289;*0;*0;*1;*;*4052355363305;*;*20130425;*58;*52;*37;*5.9;*0;*J;*8512 2000;*56;*20230401;*Headlight Set;*08-12       KLARGLAS/CHROM;*Vehicle Equipment: for vehicles with headlamp levelling (electric);*Colour: Chrome;*Colour: Crystal clear;*Bulb Type: H7/ H1;*Light Function: with daylight running light;*Inspection Tag: R87;*;*
1032495;*AUDI;*DESIGNRÜCKLEUCHTEN SET A3,;*RÜCKL.SEQ.BLINKER;*08-12                5 TÜR;*T;*1;*289;*0;*0;*1;*;*4052355701435;*;*20210115;*63;*29;*30;*4.5;*3.5;*J;*8512 2000;*142;*20230401;*Combination Rearlight Set;*08-12                5 TšR;*Colour: 192;*Light Function: with indicator (LED);*Light Function: With Wiping Effect;*Bulb Type: LED;*Number of Doors: 5;*;*;*
1032496;*AUDI;*DESIGNRÜCKLEUCHTEN SET A3,;*RÜCKL.SEQ.BLINKER;*08-12                5 TÜR;*T;*1;*289;*0;*0;*1;*;*4052355701442;*;*20210115;*63;*29;*30;*4.5;*3.5;*J;*8512 2000;*142;*20230401;*Combination Rearlight Set;*08-12                5 TšR;*Colour: Red;*Colour: Smoke Grey;*Light Function: with indicator (LED);*Light Function: With Wiping Effect;*Bulb Type: LED;*Number of Doors: 5;*;*
1032497;*AUDI;*DESIGNRÜCKLEUCHTEN SET A3,;*RÜCKL.SEQ.BLINKER;*08-12            LED;5 TÜR;*T;*1;*289;*0;*0;*1;*;*4052355701459;*;*20210115;*63;*29;*30;*4.5;*3.5;*J;*8512 2000;*142;*20230401;*Combination Rearlight Set;*08-12            LED;5 TšR;*Colour: Black;*Colour: Smoke Grey;*Light Function: with indicator (LED);*Light Function: With Wiping Effect;*Bulb Type: LED;*Number of Doors: 5;*;*
1032524;*AUDI;*SPIEGEL RE.      AUDI A 3,;*SPIEGEL;*08-05/10   GRUND;   10-PIN;*K;*1;*100;*158.27;*599;*1;*8P1 858 532 EC;*4052355010100;*;*20110216;*32;*32;*19;*1.7;*1.2;*J;*7009 1000;*7;*20230401;*Outside Mirror;*08-05/10   GRUND;   10-PIN;*Number of Doors: 4/5;*Fitting Position: Right;*Registration Type: E-type checked;*Light Function: with indicator;*Surface: Primed;*Number of Poles: 10;*;*
1032525;*AUDI;*SPIEGEL LI.      AUDI A3,;*SPIEGEL;*08-05/10   GRUND;   10-PIN;*K;*1;*100;*200.83;*1219.5;*1;*8P1 858 531 EC;*4052355010117;*;*20110216;*32;*32;*19;*1.7;*1.2;*J;*7009 1000;*7;*20230401;*Outside Mirror;*08-05/10   GRUND;   10-PIN;*Number of Doors: 4/5;*Fitting Position: Left;*Light Function: with indicator;*Surface: Primed;*Number of Poles: 10;*Outer/Inner Mirror: Aspherical;*;*
1032587;*AUDI;*DESIGNSCHEINW.SET AUDI A3,;*TUBE LIGHTS;*08-12     KLARGLAS/SCHWARZ;*T;*1;*274;*0;*0;*1;*;*4052355363312;*;*20130425;*58;*37;*53;*7.7;*6.1;*J;*8512 2000;*56;*20230401;*Headlight Set;*08-12     KLARGLAS/SCHWARZ;*Vehicle Equipment: for vehicles with headlamp levelling (electric);*Colour: Black;*Colour: Crystal clear;*Bulb Type: H7/ H1;*Light Function: with daylight running light;*Inspection Tag: R87;*;*
1032624;*AUDI;*SPIEGEL RE.    5TÜR    A3,;*SPIEGEL;*10-12                8-PIN;*K;*1;*123;*220.34;*253;*1;*8P1 858 532 GB 01C;*4052355424488;*;*20150312;*33;*33;*34;*1.8;*1.3;*J;*7009 1000;*7;*20230401;*Outside Mirror;*10-12                8-PIN;*Number of Doors: 4/5;*Fitting Position: Right;*Registration Type: E-type checked;*Light Function: with indicator;*Surface: Primed;*Number of Poles: 8;*;*
1032625;*AUDI;*SPIEGEL LI.     5TÜR   A3,;*SPIEGEL;*10-12                8-PIN;*K;*1;*123;*220.37;*253.4;*1;*8P1 858 531GB 01C;*4052355424495;*;*20150312;*33;*33;*34;*1.8;*1.3;*J;*7009 1000;*7;*20230401;*Outside Mirror;*10-12                8-PIN;*Number of Doors: 4/5;*Fitting Position: Left;*Registration Type: E-type checked;*Light Function: with indicator;*Surface: Primed;*Number of Poles: 8;*;*
1032640;*AUDI;*SPORTGRILL             A3,;*DESIGN GRILLE SPORT;*08-12;*T;*1;*74;*0;*0;*1;*;*4052355421722;*;*20150202;*98;*58;*18;*2.5;*1.6;*J;*8708 2990;*124;*20230401;*Radiator Grille;*08. Dez;*Colour: Black;*Vehicle Equipment: for vehicles with headlamp cleaning system;*Vehicle Equipment: for vehicles without parking assist;*Light Function: with fog light;*;*;*;*
1032641;*AUDI;*SPORTGRILL             A3,;*DESIGN GRILLE SPORT;*08-12;*T;*1;*68.5;*0;*0;*1;*;*4052355626462;*;*20180222;*98;*58;*18;*2.5;*1.6;*J;*8708 2990;*124;*20230401;*Radiator Grille Insert;*08. Dez;*Colour: Black;*Material: Plastic;*Vehicle Equipment: for vehicles with park assist system;*;*;*;*;*
1032650;*AUDI;*SPORTSTOßSTANGE VO.    A3,;*SPORTSTOßSTANGE;*08-12     RENNSPORT-OPTIK,;*T;*1;*312;*0;*0;*1;*;*4052355325914;*;*20121018;*196;*62;*57;*11.2;*9;*N;*8708 1090;*110;*20230401;*Bumper;*08-12     RENNSPORT-OPTIK,;*Equipment Variant: Rennsport-Optik;*Fitting Position: Front;*Colour: Black;*Material: Plastic;*Bumper Version: Tuning Sport Bumper;*Vehicle Equipment: for vehicles without parking assist;*;*
1032651;*AUDI;*SPORTSTOßSTANGE VO.    A3,;*SPORTSTOßSTANGE;*08-12     RENNSPORT-OPTIK,;*T;*1;*294;*0;*0;*1;*;*4052355325921;*;*20121018;*196;*62;*57;*11.2;*9;*N;*8708 1090;*110;*20230401;*Bumper;*08-12     RENNSPORT-OPTIK,;*Equipment Variant: Rennsport-Optik;*Fitting Position: Front;*Colour: Black;*Material: Plastic;*Bumper Version: Tuning Sport Bumper;*Vehicle Equipment: for vehicles with parking assist;*;*
1032652;*AUDI;*SPORTSTOßSTANGE VO.    A3,;*SPORTSTOßSTANGE;*08-12     RENNSPORT-OPTIK,;*T;*1;*294;*0;*0;*1;*;*4052355325938;*;*20121018;*196;*62;*57;*11.2;*9;*N;*8708 1090;*110;*20230401;*Bumper;*08-12     RENNSPORT-OPTIK,;*Equipment Variant: Rennsport-Optik;*Fitting Position: Front;*Colour: Black;*Colour: Chrome;*Bumper Version: Tuning Sport Bumper;*Vehicle Equipment: for vehicles without parking assist;*;*
